trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100202,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100203,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100204,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100205,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100208,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100209,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100210,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100211,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100212,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100222,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100223,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100224,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100225,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100226,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100301,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100302,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100303,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100304,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100305,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100308,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100309,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100310,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100311,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100312,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100315,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100316,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100317,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100318,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100319,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100322,0.0,,,,0.0,,-1.300796057235681,0.0,,,,,,0.0,,,,,,,
20100323,0.0,,,,0.0,,-2.3687406716818873,0.0,,,,,,0.0,,,,,,,
20100324,0.0,,,,0.0,,-0.604509826840422,0.0,,,,,,0.0,,,,,,,
20100325,0.0,,,,0.0,,0.5166525893599768,0.0,,,,,,0.0,,,,,,,
20100326,0.0,,,,0.0,,1.4330553984896943,0.0,,,,,,0.0,,,,,,,
20100329,0.0,,,,0.0,,2.1779481331107533,0.0,,,,,,0.0,,,,,,,
20100330,0.0,,,,0.0,,2.837996385337655,0.0,,,,,,0.0,,,,,,,
20100331,0.0,,,,0.0,,3.374113324944913,0.0,,,,,,0.0,,,,,,,
20100401,0.0,,,,0.0,,3.8332468079471185,0.0,,,,,,0.0,,,,,,,
20100402,0.0,,,,0.0,,4.183282380269528,0.0,,,,,,0.0,,,,,,,
20100406,0.0,,,,0.0,,4.438255400899999,0.0,,,,,,0.0,,,,,,,
20100407,0.0,,,,0.0,,4.652963125853757,0.0,,,,,,0.0,,,,,,,
20100408,0.0,,,,0.0,,4.815071232286113,0.0,,,,,,0.0,,,,,,,
20100409,0.0,,,,0.0,,5.015831356391514,0.0,,,,,,0.0,,,,,,,
20100412,0.0,,,,0.0,,5.182987851151191,0.0,,,,,,0.0,,,,,,,
20100413,0.0,,,,0.0,,5.614493424051091,0.0,,,,,,0.0,,,,,,,
20100414,0.0,,,,0.0,,5.9537865269450325,0.0,,,,,,0.0,,,,,,,
20100415,0.0,,,,0.0,,6.49270596269814,0.0,,,,,,0.0,,,,,,,
20100416,0.0,,,,0.0,,7.0180343323932535,0.0,,,,,,0.0,,,,,,,
20100419,0.0,,,,0.0,,7.11187397161259,0.0,,,,,,0.0,,,,,,,
20100420,0.0,,,,0.0,,7.155276082088171,0.0,,,,,,0.0,,,,,,,
20100421,0.0,,,,0.0,,7.191416468040923,0.0,,,,,,0.0,,,,,,,
20100422,0.0,,,,0.0,,7.194922485334704,0.0,,,,,,0.0,,,,,,,
20100423,0.0,,,,0.0,,7.196033609970659,0.0,,,,,,0.0,,,,,,,
20100426,0.0,,,,0.0,,7.1941628801864,0.0,,,,,,0.0,,,,,,,
20100427,0.0,,,,0.0,,7.13418315094971,0.0,,,,,,0.0,,,,,,,
20100428,0.0,,,,0.0,,7.109838493616607,0.0,,,,,,0.0,,,,,,,
20100429,0.0,,,,0.0,,7.1185960439759945,0.0,,,,,,0.0,,,,,,,
20100430,0.0,,,,0.0,,7.1135335632821315,0.0,,,,,,0.0,,,,,,,
20100504,0.0,,,,0.0,,7.151473838888357,0.0,,,,,,0.0,,,,,,,
20100505,0.0,,,,0.0,,7.310739622869383,0.0,,,,,,0.0,,,,,,,
20100506,0.0,,,,0.0,,7.437169451131347,0.0,,,,,,0.0,,,,,,,
